Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022 Poverty and Median Household Income Estimates - Counties, States, and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release date:  December 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
01,035,AL,Conecuh County,"3,329","2,769","3,889",30.1,25.0,35.2,972,738,"1,206",43.9,33.3,54.5,748,572,924,46.1,35.2,57.0,"36,106","31,594","40,618",.,.,.,.,.,.
01,037,AL,Coosa County,"1,813","1,370","2,256",18.1,13.7,22.5,520,370,670,31.2,22.2,40.2,378,264,492,31.6,22.0,41.2,"49,485","43,534","55,436",.,.,.,.,.,.
01,039,AL,Covington County,"7,071","5,795","8,347",19.2,15.7,22.7,"2,023","1,476","2,570",25.0,18.2,31.8,"1,558","1,158","1,958",26.0,19.3,32.7,"46,958","43,241","50,675",.,.,.,.,.,.
01,041,AL,Crenshaw County,"2,762","2,215","3,309",21.5,17.2,25.8,841,596,"1,086",28.3,20.1,36.5,607,427,787,27.2,19.1,35.3,"49,161","44,111","54,211",.,.,.,.,.,.
01,043,AL,Cullman County,"14,478","12,589","16,367",16.2,14.1,18.3,"3,610","2,815","4,405",18.3,14.3,22.3,"2,393","1,770","3,016",16.4,12.1,20.7,"61,774","57,437","66,111",.,.,.,.,.,.
01,045,AL,Dale County,"9,965","8,627","11,303",20.5,17.8,23.2,"3,433","2,797","4,069",30.3,24.7,35.9,"2,247","1,751","2,743",28.0,21.8,34.2,"50,567","45,426","55,708",.,.,.,.,.,.
01,047,AL,Dallas County,"11,945","10,212","13,678",32.9,28.1,37.7,"3,924","2,984","4,864",46.8,35.6,58.0,"2,635","1,865","3,405",42.2,29.9,54.5,"35,258","31,320","39,196",.,.,.,.,.,.
01,049,AL,DeKalb County,"13,248","11,212","15,284",18.7,15.8,21.6,"3,970","3,093","4,847",23.7,18.5,28.9,"2,451","1,734","3,168",19.3,13.7,24.9,"50,037","46,685","53,389",.,.,.,.,.,.
01,051,AL,Elmore County,"9,779","7,762","11,796",11.7,9.3,14.1,"2,837","2,018","3,656",15.0,10.7,19.3,"2,038","1,399","2,677",14.4,9.9,18.9,"71,463","67,620","75,306",.,.,.,.,.,.
01,053,AL,Escambia County,"7,224","5,596","8,852",20.9,16.2,25.6,"2,153","1,463","2,843",26.4,17.9,34.9,"1,565","1,060","2,070",26.2,17.8,34.6,"47,792","42,667","52,917",.,.,.,.,.,.
01,055,AL,Etowah County,"17,990","14,939","21,041",17.7,14.7,20.7,"5,485","4,300","6,670",25.3,19.8,30.8,"3,627","2,723","4,531",22.8,17.1,28.5,"55,487","52,175","58,799",.,.,.,.,.,.
01,057,AL,Fayette County,"3,092","2,407","3,777",19.5,15.2,23.8,926,678,"1,174",27.5,20.1,34.9,671,484,858,27.0,19.5,34.5,"49,205","43,956","54,454",.,.,.,.,.,.
01,059,AL,Franklin County,"5,804","4,539","7,069",18.5,14.5,22.5,"1,865","1,344","2,386",24.3,17.5,31.1,"1,278",888,"1,668",22.8,15.8,29.8,"49,611","44,607","54,615",.,.,.,.,.,.
01,061,AL,Geneva County,"4,926","3,807","6,045",18.6,14.4,22.8,"1,468","1,030","1,906",25.4,17.8,33.0,"1,066",723,"1,409",24.4,16.5,32.3,"51,585","46,524","56,646",.,.,.,.,.,.
01,063,AL,Greene County,"2,206","1,634","2,778",30.0,22.2,37.8,745,511,979,46.5,31.9,61.1,546,372,720,46.9,32.0,61.8,"35,449","31,310","39,588",.,.,.,.,.,.
01,065,AL,Hale County,"3,294","2,519","4,069",22.9,17.5,28.3,"1,120",772,"1,468",32.5,22.4,42.6,786,528,"1,044",31.5,21.2,41.8,"44,702","39,148","50,256",.,.,.,.,.,.
01,067,AL,Henry County,"2,754","2,113","3,395",15.8,12.1,19.5,796,550,"1,042",22.6,15.6,29.6,594,410,778,22.1,15.3,28.9,"56,702","50,506","62,898",.,.,.,.,.,.
01,069,AL,Houston County,"18,465","16,379","20,551",17.2,15.3,19.1,"6,377","5,414","7,340",26.6,22.6,30.6,"4,135","3,359","4,911",23.8,19.3,28.3,"56,842","54,034","59,650",.,.,.,.,.,.
01,071,AL,Jackson County,"8,434","6,854","10,014",16.1,13.1,19.1,"2,223","1,585","2,861",20.9,14.9,26.9,"1,600","1,134","2,066",20.5,14.5,26.5,"51,965","46,715","57,215",.,.,.,.,.,.
